#  Table M87_ima1isof.tab  Wed 13:40:00 09-Jan-2013

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00     20286.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
  374  373.00       190.      0.479      31.4      22.2 0.1493    0.0053  -22.89
  375  374.00       190.      0.656       43.      30.4 0.1493    0.0069  -26.60
  376  375.00       188.      0.537      35.3       25. 0.1493    0.0063  -26.60
  377  376.00       188.      0.499      32.8      23.2 0.1493    0.0060  -26.60
  378  377.00       187.      0.489      32.2      22.8 0.1493    0.0054  -26.60
  379  378.00       187.      0.485       32.      22.6 0.1493    0.0053  -26.60
  380  379.00       186.      0.593      39.2      27.7 0.1493    0.0068  -26.60
  381  380.00       181.       0.52      34.6      24.5 0.1283    0.0052  -28.18
  382  381.00       180.      0.548      36.5      25.8 0.1283    0.0051  -26.38
  383  382.00       180.      0.539       36.      25.5 0.1283    0.0047  -26.38
  384  383.00       178.      0.683      45.7      32.3 0.1228    0.0059  -23.44
  385  384.00       178.      0.759      50.9       36. 0.1228    0.0063  -23.44
  386  385.00       182.       1.63      110.      77.5 0.1228    0.0111  -11.44
  387  386.00       179.       1.45      97.3      68.8 0.1228    0.0109  -11.44
  388  387.00       177.       1.29      86.7      61.3 0.1228    0.0099  -11.44
  389  388.00       177.        1.3      87.6       62. 0.1228    0.0101  -13.35
  390  389.00       179.       1.36      91.3      64.6 0.1305    0.0099  -13.35
  391  390.00       178.       1.48      100.      70.8 0.1259    0.0106  -15.43
  392  391.00       176.       1.34      90.8      64.2 0.1259    0.0102  -15.43
  393  392.00       174.       1.19      80.7      57.1 0.1259    0.0087  -15.43
  394  393.00       174.      0.972      65.8      46.5 0.1306    0.0072  -14.27
  395  394.00       173.       1.11      75.5      53.4 0.1306    0.0085  -15.17
  396  395.00       172.      0.889      60.3      42.6 0.1306    0.0069  -15.39
  397  396.00       171.      0.803      54.5      38.6 0.1306    0.0060  -15.39
  398  397.00       173.       1.19      80.6       57. 0.1383    0.0090  -15.39
  399  398.00       171.      0.942       64.      45.3 0.1383    0.0070  -15.39
  400  399.00       171.       1.15      78.4      55.5 0.1383    0.0092  -18.12
  401  400.00       166.       0.76       52.      36.7 0.1259    0.0065  -18.12
  402  401.00       170.       1.15      78.7      55.6 0.1389    0.0090  -19.95
  403  402.00       169.       1.03      70.1      49.5 0.1389    0.0078  -19.95
  404  403.00       168.      0.951       65.       46. 0.1389    0.0076  -20.26
  405  404.00       167.         1.      68.4      48.4 0.1389    0.0080  -20.37
  406  405.00       167.      0.979      67.1      47.4 0.1389    0.0077  -21.17
  407  406.00       164.      0.905      62.1      43.9 0.1389    0.0076  -21.17
  408  407.00       163.      0.822      56.5       40. 0.1389    0.0067  -21.17
  409  408.00       162.      0.757      52.1      36.8 0.1389    0.0063  -21.17
  410  409.00       161.      0.716      49.3      34.9 0.1389    0.0063  -21.17
  411  410.00       160.      0.659      45.5      32.2 0.1389    0.0060  -21.17
  412  411.00       165.       0.94      64.7      45.7 0.1519    0.0072  -20.78
  413  412.00       161.      0.703      48.4      34.2 0.1519    0.0063  -20.78
  414  413.00       161.      0.738      50.9       36. 0.1519    0.0063  -20.78
  415  414.00       161.      0.863      59.6      42.1 0.1519    0.0069  -20.78
  416  415.00       160.      0.846      58.5      41.3 0.1519    0.0073  -20.78
  417  416.00       158.      0.668      46.2      32.7 0.1519    0.0061  -20.78
  418  417.00       157.       0.64      44.3      31.4 0.1519    0.0058  -20.78
  419  418.00       156.      0.585      40.6      28.7 0.1519    0.0053  -20.78
  420  419.00       155.      0.614      42.6      30.2 0.1519    0.0060  -21.32
  421  420.00       153.      0.565      39.4      27.8 0.1412    0.0059  -22.34
  422  421.00       153.      0.584      40.8      28.8 0.1412    0.0055  -24.38
  423  422.00       153.      0.563      39.4      27.9 0.1412    0.0054  -24.38
  424  423.00       156.      0.712      49.6      35.1 0.1568    0.0062  -24.68
  425  424.00       153.      0.539      37.6      26.6 0.1568    0.0050  -21.44
  426  425.00       153.       0.58      40.5      28.7 0.1560    0.0054  -23.44
  427  426.00       152.      0.549      38.4      27.1 0.1560    0.0053  -23.44
  428  427.00       151.      0.538      37.7      26.6 0.1560    0.0053  -23.44
  429  428.00       149.      0.515      36.2      25.6 0.1416    0.0050  -24.90
  430  429.00       147.      0.522      36.8       26. 0.1416    0.0056  -24.90
  431  430.00       147.      0.547      38.6      27.3 0.1416    0.0060  -27.42
  432  431.00       148.      0.581       41.       29. 0.1504    0.0056  -26.16
  433  432.00       146.      0.521      36.8       26. 0.1504    0.0057  -26.16
  434  433.00       147.      0.524       37.      26.1 0.1504    0.0052  -26.16
  435  434.00       145.      0.516      36.5      25.8 0.1495    0.0061  -27.74
  436  435.00       143.      0.443      31.4      22.2 0.1402    0.0067  -27.74
  437  436.00       144.      0.503      35.7      25.2 0.1485    0.0085  -28.74
  438  437.00       143.      0.496      35.2      24.9 0.1485    0.0059  -29.24
  439  438.00       143.      0.478       34.       24. 0.1485    0.0077  -28.39
  440  439.00       141.      0.447      31.8      22.5 0.1485    0.0070  -25.62
  441  440.00       141.      0.442      31.5      22.3 0.1485    0.0055  -28.46
